DIMERS;Xshift;Yshift;Zshift;alpha_deg;CPL;1st_exc_en;1st_exc_f;2nd_exc_en;2nd_exc_f;exc_split
ND9.5X15X0.8;0.0379;2.1315;9.5;15;0.0007;1.8792;0.0118;1.9169;0.6711;0.0377
ND9.5X15X1.0;0.0379;2.6708;9.5;15;0.0006;1.8805;0.0122;1.9156;0.6703;0.0351
ND9.5X15X1.2;0.0379;3.2101;9.5;15;0.0006;1.8819;0.0128;1.9141;0.6692;0.0322
ND9.5X15X1.4;0.0379;3.7495;9.5;15;0.0005;1.8835;0.0136;1.9124;0.6678;0.0289
ND9.5X15X1.6;0.0379;4.2888;9.5;15;0.0005;1.8852;0.0147;1.9106;0.666;0.0254
ND9.5X15X1.8;0.0379;4.8281;9.5;15;0.0004;1.8869;0.0164;1.9087;0.6637;0.0218
ND9.5X15X2.0;0.0379;5.3675;9.5;15;0.0003;1.8887;0.019;1.9069;0.6605;0.0182
ND9.5X15X2.2;0.0379;5.9068;9.5;15;0.0003;1.8903;0.0231;1.905;0.6557;0.0147
ND9.5X15X2.4;0.0379;6.4461;9.5;15;0.0002;1.892;0.0303;1.9033;0.6479;0.0113
ND9.5X15X2.6;0.0379;6.9855;9.5;15;0.0001;1.8935;0.0451;1.9017;0.6325;0.0082
ND9.5X15X2.8;0.0379;7.5248;9.5;15;0.0001;1.8949;0.0818;1.9004;0.5954;0.0055
ND9.5X15X3.0;0.0379;8.0641;9.5;15;0;1.896;0.1931;1.8995;0.4836;0.0035
ND9.5X15X3.2;0.0379;8.6035;9.5;15;0;1.8964;0.4345;1.8994;0.2419;0.003
ND9.5X15X3.4;0.0379;9.1428;9.5;15;-0.0001;1.8961;0.587;1.9001;0.0891;0.004
ND9.5X15X3.6;0.0379;9.6821;9.5;15;-0.0001;1.8956;0.634;1.901;0.0419;0.0054
ND9.5X15X3.8;0.0379;10.2215;9.5;15;-0.0001;1.8952;0.6501;1.9019;0.0256;0.0067
ND9.5X15X4.0;0.0379;10.7608;9.5;15;-0.0001;1.8949;0.6568;1.9027;0.0187;0.0078
ND9.5X15X4.2;0.0379;11.3001;9.5;15;-0.0002;1.8947;0.6601;1.9034;0.0154;0.0087
ND3.0X0X45d0.0;-0.0004;-0.0002;3;0;0.0066;1.6712;0.0001;2.04;0.7129;0.3687
ND3.0X0X45d0.2;-0.3817;0.3811;2.9999;0;0.0063;1.7006;0.0006;2.0535;0.7155;0.3529
ND3.0X0X45d0.4;-0.7631;0.7625;2.9999;0;0.0057;1.7332;0.0017;2.0418;0.7155;0.3086
ND3.0X0X45d0.6;-1.1445;1.1439;2.9998;0;0.0051;1.7589;0.0013;2.0306;0.7143;0.2717
ND3.0X0X45d0.8;-1.5258;1.5252;2.9998;0;0.0045;1.7504;0.0031;2.0037;0.6961;0.2533
ND3.0X0X45d1.0;-1.9072;1.9066;2.9997;0;0.004;1.7847;0.0008;2.0127;0.6981;0.228
ND3.0X0X45d1.2;-2.2886;2.288;2.9997;0;0.0034;1.8057;0.0016;2.0025;0.6912;0.1968
ND3.0X0X45d1.4;-2.6699;2.6693;2.9996;0;0.0029;1.8221;0.0013;1.9794;0.686;0.1573
ND3.0X0X45d1.6;-3.0513;3.0507;2.9995;0;0.0023;1.8339;0.0002;1.9569;0.684;0.1229
ND3.0X0X45d1.8;-3.4327;3.4321;2.9995;0;0.0017;1.8544;0.0011;1.9447;0.6816;0.0903
ND3.0X0X45d2.0;-3.814;3.8134;2.9994;0;0.0011;1.8752;0.0016;1.9328;0.6818;0.0576
ND3.0X0X45d2.2;-4.1954;4.1948;2.9994;0;0.0006;1.8926;0.022;1.9217;0.6564;0.0292
ND3.0X0X45d2.4;-4.5768;4.5762;2.9993;0;0.0002;1.8985;0.2094;1.9114;0.4653;0.013
ND3.0X0X45d2.6;-4.9581;4.9575;2.9993;0;0;1.8906;0.4492;1.9055;0.2232;0.0149
ND3.0X0X45d2.8;-5.3395;5.3389;2.9992;0;-0.0001;1.8851;0.5376;1.9024;0.1338;0.0173
ND3.0X0X45d3.0;-5.7209;5.7203;2.9991;0;-0.0002;1.884;0.5894;1.9014;0.0817;0.0174
ND3.0X0X45d3.2;-6.1022;6.1016;2.9991;0;-0.0002;1.883;0.571;1.9037;0.1;0.0207
ND3.0X0X45d3.4;-6.4836;6.483;2.999;0;-0.0002;1.8837;0.5903;1.9027;0.081;0.0189
ND3.0X0X45d3.6;-6.8649;6.8644;2.999;0;-0.0002;1.8852;0.5924;1.9036;0.0794;0.0183
ND3.0X0X45d3.8;-7.2463;7.2457;2.9989;0;-0.0002;1.887;0.5979;1.9039;0.0745;0.0169
ND3.0X0X45d4.0;-7.6277;7.6271;2.9988;0;-0.0002;1.8878;0.6239;1.9017;0.0486;0.0139
ND3.0X0X45d4.2;-8.009;8.0085;2.9988;0;-0.0002;1.8893;0.6293;1.9019;0.0439;0.0126
ND3.5X0X45d0.0;-0.0004;-0.0003;3.5;0;0.0052;1.7112;0;2.0037;0.7005;0.2925
ND3.5X0X45d0.2;-0.3818;0.3811;3.4999;0;0.0051;1.7195;0.0007;2.0053;0.6979;0.2858
ND3.5X0X45d0.4;-0.7632;0.7625;3.4999;0;0.0047;1.7386;0.0017;2.0037;0.696;0.2652
ND3.5X0X45d0.6;-1.1445;1.1438;3.4998;0;0.0043;1.7557;0.0021;1.9969;0.6943;0.2412
ND3.5X0X45d0.8;-1.5259;1.5252;3.4998;0;0.0038;1.7642;0.0038;1.9829;0.69;0.2187
ND3.5X0X45d1.0;-1.9072;1.9066;3.4997;0;0.0034;1.7805;0.0045;1.9745;0.6863;0.194
ND3.5X0X45d1.2;-2.2886;2.2879;3.4997;0;0.0029;1.8009;0.0054;1.9675;0.6828;0.1666
ND3.5X0X45d1.4;-2.67;2.6693;3.4996;0;0.0025;1.8255;0.0031;1.9632;0.6857;0.1377
ND3.5X0X45d1.6;-3.0513;3.0507;3.4995;0;0.002;1.8412;0.002;1.9505;0.6855;0.1093
ND3.5X0X45d1.8;-3.4327;3.432;3.4995;0;0.0015;1.8547;0.0006;1.9381;0.685;0.0834
ND3.5X0X45d2.0;-3.8141;3.8134;3.4994;0;0.0011;1.8709;0;1.9286;0.6837;0.0577
ND3.5X0X45d2.2;-4.1954;4.1948;3.4994;0;0.0007;1.8803;0.003;1.9166;0.6768;0.0363
ND3.5X0X45d2.4;-4.5768;4.5761;3.4993;0;0.0004;1.8855;0.0233;1.9057;0.6529;0.0201
ND3.5X0X45d2.6;-4.9582;4.9575;3.4993;0;0.0002;1.8875;0.1318;1.8984;0.5421;0.011
ND3.5X0X45d2.8;-5.3395;5.3389;3.4992;0;0;1.8871;0.3716;1.8964;0.3011;0.0093
ND3.5X0X45d3.0;-5.7209;5.7202;3.4991;0;-0.0001;1.8851;0.4702;1.8999;0.2019;0.0148
ND3.5X0X45d3.2;-6.1023;6.1016;3.4991;0;-0.0001;1.8857;0.524;1.9009;0.1482;0.0152
ND3.5X0X45d3.4;-6.4836;6.483;3.499;0;-0.0001;1.8863;0.558;1.9008;0.1143;0.0145
ND3.5X0X45d3.6;-6.865;6.8643;3.499;0;-0.0002;1.8875;0.573;1.9018;0.0998;0.0143
ND3.5X0X45d3.8;-7.2464;7.2457;3.4989;0;-0.0002;1.8888;0.5841;1.9024;0.0891;0.0136
