DIMERS;Xshift;Yshift;Zshift;alpha_deg;CPL;CPL_meV;CPL_cm-1
ND3.5X0X90d3.6;-9.7084;-0.0003;3.4981;0;0.0009;0.9;7.258986
ND3.5X0X90d3.8;-10.2477;-0.0003;3.498;0;0.0008;0.8;6.452432
ND3.5X0X90d4.0;-10.7871;-0.0003;3.4979;0;0.0007;0.7;5.645878
ND3.5X0X90d4.2;-11.3264;-0.0003;3.4978;0;0.0006;0.6;4.839324
ND4.5X0X90d0.0;-0.0005;-0.0003;4.5;0;0.0035;3.5;28.22939
ND4.5X0X90d0.2;-0.5399;-0.0003;4.4999;0;0.0035;3.5;28.22939
ND4.5X0X90d0.4;-1.0792;-0.0003;4.4998;0;0.0034;3.4;27.422836
ND4.5X0X90d0.6;-1.6185;-0.0003;4.4997;0;0.0032;3.2;25.809728
ND4.5X0X90d0.8;-2.1579;-0.0003;4.4996;0;0.0031;3.1;25.003174
ND4.5X0X90d1.0;-2.6972;-0.0003;4.4995;0;0.0029;2.9;23.390066
ND4.5X0X90d1.2;-3.2365;-0.0003;4.4994;0;0.0027;2.7;21.776958
ND4.5X0X90d1.4;-3.7759;-0.0003;4.4993;0;0.0025;2.5;20.16385
ND4.5X0X90d1.6;-4.3152;-0.0003;4.4992;0;0.0023;2.3;18.550742
ND4.5X0X90d1.8;-4.8545;-0.0003;4.499;0;0.0021;2.1;16.937634
ND4.5X0X90d2.0;-5.3939;-0.0003;4.4989;0;0.0019;1.9;15.324526
ND4.5X0X90d2.2;-5.9332;-0.0003;4.4988;0;0.0017;1.7;13.711418
ND4.5X0X90d2.4;-6.4725;-0.0003;4.4987;0;0.0015;1.5;12.09831
ND4.5X0X90d2.6;-7.0119;-0.0003;4.4986;0;0.0014;1.4;11.291756
ND4.5X0X90d2.8;-7.5512;-0.0003;4.4985;0;0.0012;1.2;9.678648
ND4.5X0X90d3.0;-8.0905;-0.0003;4.4984;0;0.0011;1.1;8.872094
ND4.5X0X90d3.2;-8.6299;-0.0003;4.4983;0;0.001;1;8.06554
ND4.5X0X90d3.4;-9.1692;-0.0003;4.4982;0;0.0008;0.8;6.452432
ND4.5X0X90d3.6;-9.7085;-0.0003;4.4981;0;0.0008;0.8;6.452432
ND4.5X0X90d3.8;-10.2479;-0.0003;4.498;0;0.0007;0.7;5.645878
ND4.5X0X90d4.0;-10.7872;-0.0003;4.4979;0;0.0006;0.6;4.839324
ND4.5X0X90d4.2;-11.3265;-0.0003;4.4978;0;0.0005;0.5;4.03277
ND5.5X0X90d0.0;-0.0007;-0.0004;5.5;0;0.0025;2.5;20.16385
ND5.5X0X90d0.2;-0.54;-0.0004;5.4999;0;0.0025;2.5;20.16385
ND5.5X0X90d0.4;-1.0793;-0.0004;5.4998;0;0.0024;2.4;19.357296
ND5.5X0X90d0.6;-1.6187;-0.0004;5.4997;0;0.0023;2.3;18.550742
ND5.5X0X90d0.8;-2.158;-0.0004;5.4996;0;0.0022;2.2;17.744188
ND5.5X0X90d1.0;-2.6973;-0.0004;5.4995;0;0.0021;2.1;16.937634
ND5.5X0X90d1.2;-3.2367;-0.0004;5.4994;0;0.002;2;16.13108
ND5.5X0X90d1.4;-3.776;-0.0004;5.4993;0;0.0019;1.9;15.324526
ND5.5X0X90d1.6;-4.3153;-0.0004;5.4992;0;0.0017;1.7;13.711418
ND5.5X0X90d1.8;-4.8547;-0.0004;5.499;0;0.0016;1.6;12.904864
ND5.5X0X90d2.0;-5.394;-0.0004;5.4989;0;0.0015;1.5;12.09831
ND5.5X0X90d2.2;-5.9333;-0.0004;5.4988;0;0.0014;1.4;11.291756
ND5.5X0X90d2.4;-6.4727;-0.0004;5.4987;0;0.0012;1.2;9.678648
ND5.5X0X90d2.6;-7.012;-0.0004;5.4986;0;0.0011;1.1;8.872094
ND5.5X0X90d2.8;-7.5513;-0.0004;5.4985;0;0.001;1;8.06554
ND5.5X0X90d3.0;-8.0907;-0.0004;5.4984;0;0.0009;0.9;7.258986
ND5.5X0X90d3.2;-8.63;-0.0004;5.4983;0;0.0008;0.8;6.452432
ND5.5X0X90d3.4;-9.1693;-0.0004;5.4982;0;0.0007;0.7;5.645878
ND5.5X0X90d3.6;-9.7087;-0.0004;5.4981;0;0.0007;0.7;5.645878
ND5.5X0X90d3.8;-10.248;-0.0004;5.498;0;0.0006;0.6;4.839324
ND5.5X0X90d4.0;-10.7873;-0.0004;5.4979;0;0.0005;0.5;4.03277
ND5.5X0X90d4.2;-11.3267;-0.0004;5.4978;0;0.0005;0.5;4.03277
ND3.5X15X0.0;0.0386;-0.0254;3.5;15;0.0048;4.8;38.714592
ND3.5X15X0.2;0.0386;0.5139;3.5;15;0.0048;4.8;38.714592
ND3.5X15X0.4;0.0386;1.0533;3.5;15;0.0045;4.5;36.29493
ND3.5X15X0.6;0.0386;1.5926;3.5;15;0.0041;4.1;33.068714
ND3.5X15X0.8;0.0386;2.1319;3.5;15;0.0036;3.6;29.035944
ND3.5X15X1.0;0.0386;2.6713;3.5;15;0.003;3;24.19662
ND3.5X15X1.2;0.0386;3.2106;3.5;15;0.0024;2.4;19.357296
ND3.5X15X1.4;0.0386;3.7499;3.5;15;0.0018;1.8;14.517972
ND3.5X15X1.6;0.0386;4.2893;3.5;15;0.0012;1.2;9.678648
ND3.5X15X1.8;0.0386;4.8286;3.5;15;0.0007;0.7;5.645878
ND3.5X15X2.0;0.0386;5.3679;3.5;15;0.0001;0.1;0.806554
